Month,year,Population,Participation rate(%),Labour Force,Employed,Unemployed,Unemployment Rate (%),Region,country/province ,date 
Sep,2008,365,67.5,247,231,16,6.4,Middlesex,Ontario,Sep-2008
Oct,2008,366,67.4,246,230,16,6.5,Middlesex,Ontario,Oct-2008
Nov,2008,366,66.9,245,228,16,6.7,Middlesex,Ontario,Nov-2008
Dec,2008,366,67,245,228,18,7.1,Middlesex,Ontario,Dec-2008
Jan,2009,366,66.9,245,226,19,7.8,Middlesex,Ontario,Jan-2009
Feb,2009,366,67.1,246,225,20,8.2,Middlesex,Ontario,Feb-2009
Mar,2009,366,66.8,245,224,21,8.6,Middlesex,Ontario,Mar-2009
Apr,2009,366,66.1,242,221,21,8.6,Middlesex,Ontario,Apr-2009
May,2009,367,66.7,245,222,23,9.4,Middlesex,Ontario,May-2009
Jun,2009,367,66.8,245,223,22,9.1,Middlesex,Ontario,Jun-2009
Jul,2009,367,66.7,245,223,22,8.9,Middlesex,Ontario,Jul-2009
Aug,2009,368,66.1,243,221,22,9.2,Middlesex,Ontario,Aug-2009
Sep,2009,368,66.4,244,222,23,9.3,Middlesex,Ontario,Sep-2009
Oct,2009,368,66.8,246,223,23,9.3,Middlesex,Ontario,Oct-2009
Nov,2009,368,67.5,249,227,22,8.7,Middlesex,Ontario,Nov-2009
Dec,2009,369,66.8,246,226,20,8.3,Middlesex,Ontario,Dec-2009
Jan,2010,369,66.7,246,226,20,8.1,Middlesex,Ontario,Jan-2010
Feb,2010,369,66.1,244,224,20,8.1,Middlesex,Ontario,Feb-2010
Mar,2010,369,65.9,243,223,20,8.1,Middlesex,Ontario,Mar-2010
Apr,2010,369,66.1,244,225,19,7.9,Middlesex,Ontario,Apr-2010
May,2010,370,66.5,246,227,19,7.8,Middlesex,Ontario,May-2010
Jun,2010,370,66.6,247,229,18,7.3,Middlesex,Ontario,Jun-2010
Jul,2010,370,66.3,246,227,18,7.5,Middlesex,Ontario,Jul-2010
Aug,2010,371,65.9,244,225,20,8.1,Middlesex,Ontario,Aug-2010
Sep,2010,371,65,241,222,20,8.1,Middlesex,Ontario,Sep-2010
Oct,2010,371,65.1,242,222,20,8.1,Middlesex,Ontario,Oct-2010
Nov,2010,371,65.7,244,225,19,7.6,Middlesex,Ontario,Nov-2010
Dec,2010,371,65.8,245,225,19,7.9,Middlesex,Ontario,Dec-2010
Jan,2011,372,65.5,243,224,19,7.8,Middlesex,Ontario,Jan-2011
Feb,2011,372,64.7,241,222,19,7.9,Middlesex,Ontario,Feb-2011
Mar,2011,372,65.3,243,223,20,8.1,Middlesex,Ontario,Mar-2011
Apr,2011,372,66,246,226,20,8.2,Middlesex,Ontario,Apr-2011
May,2011,372,65.8,245,224,21,8.5,Middlesex,Ontario,May-2011
Jun,2011,373,65.6,245,224,21,8.5,Middlesex,Ontario,Jun-2011
Jul,2011,373,65.4,244,223,21,8.6,Middlesex,Ontario,Jul-2011
Aug,2011,373,65.7,245,224,21,8.4,Middlesex,Ontario,Aug-2011
Sep,2011,374,65.9,246,224,22,8.8,Middlesex,Ontario,Sep-2011
Oct,2011,374,65.3,244,223,21,8.7,Middlesex,Ontario,Oct-2011
Nov,2011,374,65.1,244,222,22,8.9,Middlesex,Ontario,Nov-2011
Dec,2011,374,64.6,242,221,21,8.5,Middlesex,Ontario,Dec-2011
Jan,2012,375,64.7,242,222,21,8.5,Middlesex,Ontario,Jan-2012
Feb,2012,375,64.1,240,221,19,8,Middlesex,Ontario,Feb-2012
Mar,2012,375,63.9,240,222,18,7.4,Middlesex,Ontario,Mar-2012
Apr,2012,376,64.6,242,225,18,7.3,Middlesex,Ontario,Apr-2012
May,2012,376,64.9,244,226,18,7.5,Middlesex,Ontario,May-2012
Jun,2012,376,65.3,246,227,19,7.6,Middlesex,Ontario,Jun-2012
Jul,2012,377,65.5,247,228,19,7.6,Middlesex,Ontario,Jul-2012
Aug,2012,377,65.6,247,228,20,7.9,Middlesex,Ontario,Aug-2012
Sep,2012,377,65.8,248,229,19,7.6,Middlesex,Ontario,Sep-2012
Oct,2012,377,65.4,247,226,21,8.4,Middlesex,Ontario,Oct-2012
Nov,2012,377,64.9,245,225,20,8.1,Middlesex,Ontario,Nov-2012
Dec,2012,377,64.4,243,224,19,7.7,Middlesex,Ontario,Dec-2012
Jan,2013,378,64.2,243,225,18,7.3,Middlesex,Ontario,Jan-2013
Feb,2013,378,64.4,243,226,18,7.3,Middlesex,Ontario,Feb-2013
Mar,2013,378,64.9,245,226,20,8,Middlesex,Ontario,Mar-2013
Apr,2013,378,65,246,226,20,8,Middlesex,Ontario,Apr-2013
May,2013,378,65.3,247,227,20,8,Middlesex,Ontario,May-2013
Jun,2013,378,65.4,247,228,20,7.9,Middlesex,Ontario,Jun-2013
Jul,2013,379,64.8,246,226,20,8,Middlesex,Ontario,Jul-2013
Aug,2013,379,64.5,244,225,20,8,Middlesex,Ontario,Aug-2013
Sep,2013,379,63.5,241,223,18,7.6,Middlesex,Ontario,Sep-2013
Oct,2013,379,63.3,240,222,18,7.5,Middlesex,Ontario,Oct-2013
Nov,2013,380,63.2,240,224,16,6.6,Middlesex,Ontario,Nov-2013
Dec,2013,380,63.4,241,224,17,7,Middlesex,Ontario,Dec-2013
Jan,2014,380,63.3,240,224,16,6.8,Middlesex,Ontario,Jan-2014
Feb,2014,380,63.6,241,224,17,7.2,Middlesex,Ontario,Feb-2014
Mar,2014,380,63.4,241,224,17,7.1,Middlesex,Ontario,Mar-2014
Apr,2014,380,63.8,243,225,18,7.3,Middlesex,Ontario,Apr-2014
May,2014,380,63.7,242,226,17,6.9,Middlesex,Ontario,May-2014
Jun,2014,381,63.7,242,226,17,6.8,Middlesex,Ontario,Jun-2014
Jul,2014,381,64.2,245,228,16,6.7,Middlesex,Ontario,Jul-2014
Aug,2014,381,63.8,243,227,16,6.7,Middlesex,Ontario,Aug-2014
Sep,2014,381,63.4,242,225,16,6.8,Middlesex,Ontario,Sep-2014
Oct,2014,382,62.8,240,225,15,6.3,Middlesex,Ontario,Oct-2014
Nov,2014,382,62.4,238,223,15,6.4,Middlesex,Ontario,Nov-2014
Dec,2014,382,62.5,239,224,15,6.1,Middlesex,Ontario,Dec-2014
Jan,2015,382,62.5,239,224,15,6.2,Middlesex,Ontario,Jan-2015
Feb,2015,382,62.8,240,225,16,6.5,Middlesex,Ontario,Feb-2015
Mar,2015,383,62.7,240,224,16,6.5,Middlesex,Ontario,Mar-2015
Apr,2015,383,61.8,237,222,15,6.2,Middlesex,Ontario,Apr-2015
May,2015,383,61.6,236,224,12,5.2,Middlesex,Ontario,May-2015
Jun,2015,384,62.7,241,229,12,4.8,Middlesex,Ontario,Jun-2015
Jul,2015,384,64,246,233,13,5.1,Middlesex,Ontario,Jul-2015
Aug,2015,384,65.1,250,237,13,5.3,Middlesex,Ontario,Aug-2015
Sep,2015,385,64.7,249,233,16,6.3,Middlesex,Ontario,Sep-2015
Oct,2015,385,64.7,249,233,17,6.6,Middlesex,Ontario,Oct-2015
Nov,2015,386,63.8,246,230,17,6.7,Middlesex,Ontario,Nov-2015
Dec,2015,386,63.2,244,230,14,5.9,Middlesex,Ontario,Dec-2015
Jan,2016,387,62.9,243,231,13,5.2,Middlesex,Ontario,Jan-2016
Feb,2016,387,63,244,230,14,5.7,Middlesex,Ontario,Feb-2016
Mar,2016,387,63.4,246,230,16,6.3,Middlesex,Ontario,Mar-2016
Apr,2016,388,63.8,248,230,18,7.2,Middlesex,Ontario,Apr-2016
May,2016,389,63.8,248,233,15,6.1,Middlesex,Ontario,May-2016
Jun,2016,389,64.1,249,234,15,6,Middlesex,Ontario,Jun-2016
Jul,2016,390,63.6,248,233,15,5.9,Middlesex,Ontario,Jul-2016
Aug,2016,391,63.7,249,234,15,6.1,Middlesex,Ontario,Aug-2016
Sep,2016,391,62.9,246,232,14,5.7,Middlesex,Ontario,Sep-2016
Oct,2016,392,62.3,244,231,13,5.3,Middlesex,Ontario,Oct-2016
Nov,2016,393,61.6,242,229,14,5.6,Middlesex,Ontario,Nov-2016
Dec,2016,394,61.6,242,228,15,6,Middlesex,Ontario,Dec-2016
Jan,2017,395,61.7,243,229,14,5.9,Middlesex,Ontario,Jan-2017
Feb,2017,395,62,245,233,12,5.1,Middlesex,Ontario,Feb-2017
Mar,2017,396,63.2,250,237,14,5.5,Middlesex,Ontario,Mar-2017
Apr,2017,397,63.2,251,238,13,5.2,Middlesex,Ontario,Apr-2017
May,2017,398,63.7,254,238,15,6,Middlesex,Ontario,May-2017
Jun,2017,399,63,251,237,14,5.6,Middlesex,Ontario,Jun-2017
Jul,2017,400,62.7,251,238,13,5.1,Middlesex,Ontario,Jul-2017
Aug,2017,401,61.2,245,234,12,4.8,Middlesex,Ontario,Aug-2017
Sep,2017,402,60.5,243,231,12,5.1,Middlesex,Ontario,Sep-2017
Oct,2017,403,60.4,243,230,13,5.3,Middlesex,Ontario,Oct-2017
Nov,2017,404,61,246,232,14,5.7,Middlesex,Ontario,Nov-2017
Dec,2017,404,61.1,247,232,15,6,Middlesex,Ontario,Dec-2017
Jan,2018,405,60.8,247,231,15,6.2,Middlesex,Ontario,Jan-2018
Feb,2018,406,61.2,249,234,15,6.2,Middlesex,Ontario,Feb-2018
Mar,2018,407,61.8,252,237,15,5.9,Middlesex,Ontario,Mar-2018
Apr,2018,408,61.7,252,239,13,5.3,Middlesex,Ontario,Apr-2018
May,2018,409,61.6,252,238,14,5.5,Middlesex,Ontario,May-2018
Jun,2018,410,62.2,255,240,15,5.8,Middlesex,Ontario,Jun-2018
Jul,2018,411,62.9,259,244,15,5.7,Middlesex,Ontario,Jul-2018
Aug,2018,412,62.6,258,243,15,5.6,Middlesex,Ontario,Aug-2018
Sep,2018,413,63.1,260,246,14,5.4,Middlesex,Ontario,Sep-2018
Oct,2018,413,62.6,258,246,12,4.8,Middlesex,Ontario,Oct-2018
Nov,2018,414,61.9,256,243,13,5.3,Middlesex,Ontario,Nov-2018
Dec,2018,414,61.6,255,242,13,5.2,Middlesex,Ontario,Dec-2018
Jan,2019,415,61.7,256,242,14,5.4,Middlesex,Ontario,Jan-2019
Feb,2019,416,61.9,257,244,13,5.2,Middlesex,Ontario,Feb-2019
Mar,2019,416,61.3,255,242,13,5.1,Middlesex,Ontario,Mar-2019
Apr,2019,417,60.8,253,241,12,4.8,Middlesex,Ontario,Apr-2019
May,2019,418,59.4,248,238,11,4.2,Middlesex,Ontario,May-2019
Jun,2019,418,59.2,248,237,11,4.3,Middlesex,Ontario,Jun-2019
Jul,2019,419,59.1,248,235,13,5.4,Middlesex,Ontario,Jul-2019
Aug,2019,420,60.3,254,239,14,5.6,Middlesex,Ontario,Aug-2019
Sep,2019,421,60.4,254,240,14,5.7,Middlesex,Ontario,Sep-2019
Oct,2019,422,60.8,257,243,13,5.2,Middlesex,Ontario,Oct-2019
Nov,2019,423,61.5,260,247,13,5,Middlesex,Ontario,Nov-2019
Dec,2019,424,61.6,261,248,13,4.9,Middlesex,Ontario,Dec-2019
Jan,2020,424,62,263,251,12,4.6,Middlesex,Ontario,Jan-2020
Feb,2020,425,62,264,251,13,4.9,Middlesex,Ontario,Feb-2020
Mar,2020,426,60.6,258,239,19,7.3,Middlesex,Ontario,Mar-2020
Apr,2020,426,57,243,218,25,10.4,Middlesex,Ontario,Apr-2020
May,2020,427,58.8,251,221,30,11.9,Middlesex,Ontario,May-2020
Jun,2020,428,61.3,262,235,27,10.2,Middlesex,Ontario,Jun-2020
Jul,2020,428,61.8,265,244,21,7.8,Middlesex,Ontario,Jul-2020
Aug,2020,429,61.9,265,248,18,6.8,Middlesex,Ontario,Aug-2020
Sep,2020,429,62.6,269,251,18,6.6,Middlesex,Ontario,Sep-2020
Oct,2020,430,62.2,267,247,21,7.7,Middlesex,Ontario,Oct-2020
Nov,2020,430,61.8,266,244,22,8.1,Middlesex,Ontario,Nov-2020
Dec,2020,431,63.1,272,247,25,9.3,Middlesex,Ontario,Dec-2020
Jan,2021,431,62.8,271,246,25,9.3,Middlesex,Ontario,Jan-2021
Feb,2021,432,64.1,277,256,21,7.6,Middlesex,Ontario,Feb-2021
Mar,2021,432,64.5,279,261,18,6.3,Middlesex,Ontario,Mar-2021
Apr,2021,432,65,281,255,26,9.1,Middlesex,Ontario,Apr-2021
May,2021,433,65.4,283,254,29,10.3,Middlesex,Ontario,May-2021
Jun,2021,433,66.1,287,259,28,9.6,Middlesex,Ontario,Jun-2021
Jul,2021,434,65.7,285,263,22,7.8,Middlesex,Ontario,Jul-2021
Aug,2021,435,65.2,284,264,20,7,Middlesex,Ontario,Aug-2021
Sep,2021,436,65,284,264,19,6.8,Middlesex,Ontario,Sep-2021
Oct,2021,437,65.1,285,267,18,6.2,Middlesex,Ontario,Oct-2021
Nov,2021,439,65.9,289,271,18,6.2,Middlesex,Ontario,Nov-2021
Dec,2021,440,66.7,293,277,17,5.6,Middlesex,Ontario,Dec-2021
Jan,2022,441,66.4,293,273,19,6.6,Middlesex,Ontario,Jan-2022
Feb,2022,442,66.4,293,279,14,4.8,Middlesex,Ontario,Feb-2022
Mar,2022,443,66.6,295,282,13,4.5,Middlesex,Ontario,Mar-2022
Apr,2022,444,67.1,298,284,14,4.8,Middlesex,Ontario,Apr-2022
May,2022,445,67.4,300,285,15,4.9,Middlesex,Ontario,May-2022
Jun,2022,446,66.5,297,282,15,5.1,Middlesex,Ontario,Jun-2022
Jul,2022,447,66.1,296,280,15,5.2,Middlesex,Ontario,Jul-2022
Aug,2022,449,65.4,294,277,16,5.6,Middlesex,Ontario,Aug-2022
Sep,2022,450,65.4,294,279,16,5.3,Middlesex,Ontario,Sep-2022
Oct,2022,451,65.5,295,280,15,5.2,Middlesex,Ontario,Oct-2022
Nov,2022,452,65.2,295,281,14,4.7,Middlesex,Ontario,Nov-2022
Dec,2022,453,65.3,296,283,13,4.4,Middlesex,Ontario,Dec-2022
Jan,2023,455,65.7,299,285,14,4.5,Middlesex,Ontario,Jan-2023
Feb,2023,456,65.7,300,286,14,4.7,Middlesex,Ontario,Feb-2023
Mar,2023,458,64.7,296,282,15,4.9,Middlesex,Ontario,Mar-2023
Apr,2023,459,64,294,281,13,4.4,Middlesex,Ontario,Apr-2023
May,2023,461,63.6,293,279,14,4.9,Middlesex,Ontario,May-2023
Jun,2023,463,63.7,295,280,15,5,Middlesex,Ontario,Jun-2023
Jul,2023,465,63.8,296,281,16,5.3,Middlesex,Ontario,Jul-2023
Aug,2023,466,64.7,302,285,16,5.4,Middlesex,Ontario,Aug-2023
Sep,2023,468,65.6,307,290,17,5.6,Middlesex,Ontario,Sep-2023
Oct,2023,469,65.9,309,292,17,5.4,Middlesex,Ontario,Oct-2023
Nov,2023,471,65.3,308,291,17,5.4,Middlesex,Ontario,Nov-2023
Dec,2023,473,65.1,308,292,16,5.2,Middlesex,Ontario,Dec-2023
Jan,2024,474,65.2,309,293,16,5.3,Middlesex,Ontario,Jan-2024
Feb,2024,476,65.5,312,295,17,5.6,Middlesex,Ontario,Feb-2024
Mar,2024,478,65.8,314,296,18,5.8,Middlesex,Ontario,Mar-2024
Apr,2024,479,65.5,314,297,17,5.4,Middlesex,Ontario,Apr-2024
May,2024,481,65.3,314,297,17,5.4,Middlesex,Ontario,May-2024
Jun,2024,483,65,314,295,19,6,Middlesex,Ontario,Jun-2024
Jul,2024,485,64.5,312,292,20,6.5,Middlesex,Ontario,Jul-2024
Aug,2024,486,63.7,310,288,22,7,Middlesex,Ontario,Aug-2024
Sep,2024,488,63.7,311,290,20,6.5,Middlesex,Ontario,Sep-2024
Oct,2024,489,63.9,312,293,19,6.1,Middlesex,Ontario,Oct-2024
Nov,2024,490,64.7,317,297,20,6.2,Middlesex,Ontario,Nov-2024
Dec,2024,491,65,319,300,19,6,Middlesex,Ontario,Dec-2024
Jan,2025,492,65.2,321,302,18,5.7,Middlesex,Ontario,Jan-2025
Feb,2025,493,64.5,317,300,17,5.4,Middlesex,Ontario,Feb-2025
Mar,2025,493,63.6,314,298,15,4.9,Middlesex,Ontario,Mar-2025
Apr,2025,494,62.9,311,294,17,5.6,Middlesex,Ontario,Apr-2025
May,2025,495,62.9,311,292,19,6.2,Middlesex,Ontario,May-2025
